seats,mm,pg,vs
9,0.013814689,0.020305811,"(0.5065290636605231, 0.5346423503881145, 0.547555405176789, 0.4336396131474671, 0.5555261078973522, 0.5028777765619871, 0.3498035268384274, 0.408070486870305, 0.5257852249509234, 0.44180636615753965, 0.6471615592344723, 0.6225157899811966, 0.5797037002363845)"
9,0.015519559,0.020859191,"(0.5065290636605231, 0.5346423503881145, 0.547555405176789, 0.4336396131474671, 0.5555261078973522, 0.5028777765619871, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5274730739013257, 0.6471615592344723, 0.6225157899811966, 0.5797037002363845)"
9,0.015438506,0.020697085,"(0.5065290636605231, 0.5346423503881145, 0.547555405176789, 0.5774540058505787, 0.5555261078973522, 0.5028777765619871, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5274730739013257, 0.6471615592344723, 0.6225157899811966, 0.43694300185933194)"
8,0.022368237,0.020517223,"(0.4985201649123615, 0.5346423503881145, 0.547555405176789, 0.5774540058505787, 0.5555261078973522, 0.5028777765619871, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5343128747043276, 0.6471615592344723, 0.6225157899811966, 0.43694300185933194)"
8,0.022348848,0.020556,"(0.5473395171932003, 0.5346423503881145, 0.49898810376952846, 0.5774540058505787, 0.5555261078973522, 0.5028777765619871, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5343128747043276, 0.6471615592344723, 0.6225157899811966, 0.43694300185933194)"
8,0.022682759,0.021515693,"(0.5473395171932003, 0.5346423503881145, 0.49898810376952846, 0.5774540058505787, 0.5523782776316797, 0.5028777765619871, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5374030460973425, 0.6471615592344723, 0.6225157899811966, 0.43694300185933194)"
8,0.022663168,0.022458614,"(0.5473395171932003, 0.5346423503881145, 0.49898810376952846, 0.5774540058505787, 0.5523782776316797, 0.5028777765619871, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5374030460973425, 0.6257076288679362, 0.6442244093117631, 0.43694300185933194)"
8,0.018492032,0.022359181,"(0.5473395171932003, 0.5346423503881145, 0.49898810376952846, 0.5774540058505787, 0.5523782776316797, 0.5092130068022483, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5304214972589197, 0.6257076288679362, 0.6442244093117631, 0.43694300185933194)"
8,0.011953373,0.022182718,"(0.5473395171932003, 0.5346423503881145, 0.49898810376952846, 0.5774540058505787, 0.5523782776316797, 0.5146928909995112, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5237946073588589, 0.6257076288679362, 0.6442244093117631, 0.43694300185933194)"
8,0.011965342,0.022169681,"(0.5473395171932003, 0.534522184157404, 0.49898810376952846, 0.5774185804593103, 0.5523782776316797, 0.5146928909995112, 0.3498035268384274, 0.408070486870305, 0.4398972403111104, 0.5237946073588589, 0.6257076288679362, 0.6442244093117631, 0.43694300185933194)"
8,0.011946192,0.022322431,"(0.5473395171932003, 0.534522184157404, 0.49898810376952846, 0.5774185804593103, 0.5523782776316797, 0.5146928909995112, 0.4490685624467765, 0.408070486870305, 0.4398972403111104, 0.5237946073588589, 0.6257076288679362, 0.6442244093117631, 0.33792691636712757)"
8,0.011890473,0.021809154,"(0.5473395171932003, 0.6462547321526675, 0.49898810376952846, 0.5774185804593103, 0.5523782776316797, 0.5146928909995112, 0.4490685624467765, 0.408070486870305, 0.4398972403111104, 0.5237946073588589, 0.6257076288679362, 0.5332162068548202, 0.33792691636712757)"
8,0.011945156,0.022421119,"(0.5473395171932003, 0.534849651754621, 0.49898810376952846, 0.5774185804593103, 0.5523782776316797, 0.5146928909995112, 0.4490685624467765, 0.408070486870305, 0.4398972403111104, 0.5237946073588589, 0.6257076288679362, 0.6439104015606572, 0.33792691636712757)"
8,0.011938186,0.02221613,"(0.5473395171932003, 0.534849651754621, 0.49898810376952846, 0.5749822954534725, 0.5523782776316797, 0.5146928909995112, 0.45159545700378584, 0.408070486870305, 0.4398972403111104, 0.5237946073588589, 0.6257076288679362, 0.6439104015606572, 0.33792691636712757)"
8,0.011929787,0.022232927,"(0.5473395171932003, 0.534849651754621, 0.6307710687916657, 0.5749822954534725, 0.5523782776316797, 0.5146928909995112, 0.45159545700378584, 0.408070486870305, 0.4398972403111104, 0.5237946073588589, 0.4940338470459158, 0.6439104015606572, 0.33792691636712757)"
8,0.011967906,0.022309163,"(0.5473395171932003, 0.534849651754621, 0.6307710687916657, 0.5749822954534725, 0.5523782776316797, 0.5146928909995112, 0.45159545700378584, 0.408070486870305, 0.4407166339568893, 0.5237946073588589, 0.4940338470459158, 0.6439104015606572, 0.3366119875549766)"
8,0.009300493,0.022408422,"(0.5473395171932003, 0.534849651754621, 0.6307710687916657, 0.5749822954534725, 0.5523782776316797, 0.5146928909995112, 0.45159545700378584, 0.408070486870305, 0.4407166339568893, 0.49729680921906566, 0.5211768243007332, 0.6439104015606572, 0.3366119875549766)"
8,0.009356179,0.023374588,"(0.5473395171932003, 0.534849651754621, 0.6307710687916657, 0.5787563603711464, 0.5523782776316797, 0.5146928909995112, 0.4470974780318591, 0.408070486870305, 0.4407166339568893, 0.49729680921906566, 0.5211768243007332, 0.6439104015606572, 0.3366119875549766)"
8,0.009027906,0.018786757,"(0.5473395171932003, 0.534849651754621, 0.6609546267523306, 0.5787563603711464, 0.5523782776316797, 0.5146928909995112, 0.4470974780318591, 0.408070486870305, 0.4407166339568893, 0.4713807967105228, 0.5211768243007332, 0.6439104015606572, 0.3366119875549766)"
8,0.009070622,0.018701325,"(0.5473395171932003, 0.534849651754621, 0.6609546267523306, 0.6423376046218798, 0.5523782776316797, 0.5146928909995112, 0.4470974780318591, 0.408070486870305, 0.4407166339568893, 0.4713807967105228, 0.5211768243007332, 0.579773851590106, 0.3366119875549766)"
8,0.006945139,0.018049825,"(0.5473395171932003, 0.534849651754621, 0.6609546267523306, 0.6423376046218798, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.408070486870305, 0.4407166339568893, 0.4713807967105228, 0.5190498669015559, 0.579773851590106, 0.3366119875549766)"
8,0.007330366,0.023007685,"(0.5473395171932003, 0.534849651754621, 0.49951549282929386, 0.6423376046218798, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.408070486870305, 0.4407166339568893, 0.6278119772340617, 0.5190498669015559, 0.579773851590106, 0.3366119875549766)"
8,0.007076966,0.02460341,"(0.5473395171932003, 0.534849651754621, 0.49951549282929386, 0.6423376046218798, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.408070486870305, 0.3179616248545371, 0.6278119772340617, 0.5190498669015559, 0.579773851590106, 0.46266120416249545)"
7,0.003021396,0.024000596,"(0.5473395171932003, 0.534849651754621, 0.49951549282929386, 0.6423376046218798, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.408070486870305, 0.3179616248545371, 0.6278119772340617, 0.4788699019055539, 0.579773851590106, 0.4989228800320631)"
7,0.002081927,0.030348959,"(0.5473395171932003, 0.534849651754621, 0.49951549282929386, 0.6128253902076765, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.44979580557005555, 0.3179616248545371, 0.6278119772340617, 0.4788699019055539, 0.579773851590106, 0.4989228800320631)"
7,0.001657518,0.020133549,"(0.5473395171932003, 0.534849651754621, 0.4690740671412298, 0.6128253902076765, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.44979580557005555, 0.3179616248545371, 0.6637707169856724, 0.4788699019055539, 0.579773851590106, 0.4989228800320631)"
7,0.001661532,0.020125521,"(0.46889798539208605, 0.534849651754621, 0.5474634132148849, 0.6128253902076765, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.44979580557005555, 0.3179616248545371, 0.6637707169856724, 0.4788699019055539, 0.579773851590106, 0.4989228800320631)"
7,0.00160341,0.020241765,"(0.46889798539208605, 0.534849651754621, 0.41549278041066295, 0.6128253902076765, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.5825220247504518, 0.3179616248545371, 0.6637707169856724, 0.4788699019055539, 0.579773851590106, 0.4989228800320631)"
7,0.001488064,0.019295225,"(0.46889798539208605, 0.534849651754621, 0.41549278041066295, 0.6128253902076765, 0.554486070694532, 0.5146928909995112, 0.4470974780318591, 0.5825220247504518, 0.321787632557499, 0.6637707169856724, 0.4788699019055539, 0.579773851590106, 0.4965963805412585)"
7,0.001991034,0.019304361,"(0.46889798539208605, 0.534849651754621, 0.41549278041066295, 0.6128253902076765, 0.5540379138210885, 0.5152004292517159, 0.4470974780318591, 0.5825220247504518, 0.321787632557499, 0.6637707169856724, 0.4788699019055539, 0.579773851590106, 0.4965963805412585)"
7,0.00189475,0.020412423,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5152004292517159, 0.4470974780318591, 0.5252562027384051, 0.321787632557499, 0.6637707169856724, 0.4788699019055539, 0.579773851590106, 0.4965963805412585)"
7,0.011879575,0.021777634,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.48410072747621713, 0.4470974780318591, 0.5252562027384051, 0.321787632557499, 0.6637707169856724, 0.4788699019055539, 0.579773851590106, 0.5286184119614183)"
7,0.011911007,0.022534488,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.48410072747621713, 0.4470974780318591, 0.5252562027384051, 0.48511139864230135, 0.6637707169856724, 0.31513751918020527, 0.579773851590106, 0.5286184119614183)"
7,0.011979027,0.021976536,"(0.46889798539208605, 0.534849651754621, 0.4740102940509258, 0.6128253902076765, 0.5540379138210885, 0.5311007595028215, 0.4470974780318591, 0.5252562027384051, 0.48511139864230135, 0.6637707169856724, 0.31513751918020527, 0.579773851590106, 0.4807341291570839)"
