seats,mm,pg,vs
4,0.012395011,0.024790021,"(0.72943421994422, 0.6025103317419095, 0.7305457764601734, 0.807889621769748)"
4,0.012375007,0.024750015,"(0.7262123644955449, 0.6025103317419095, 0.7336876183495205, 0.807889621769748)"
4,0.033949207,0.067898414,"(0.7262123644955449, 0.7776973608754633, 0.5602232759978303, 0.807889621769748)"
4,0.034109083,0.068218165,"(0.7262123644955449, 0.7776973608754633, 0.5598450586117729, 0.8076283366468796)"
4,0.036620291,0.073240581,"(0.7318015276656523, 0.7776973608754633, 0.5598450586117729, 0.8031726671252403)"
4,0.036030175,0.072060349,"(0.7318015276656523, 0.7776973608754633, 0.5651195342972953, 0.8002586552791471)"
4,0.036009529,0.072019057,"(0.7318015276656523, 0.7776973608754633, 0.8027499928348285, 0.5627107812320912)"
4,0.029186573,0.058373145,"(0.8149663924059627, 0.7776973608754633, 0.7167261036251668, 0.5627107812320912)"
4,0.032530063,0.065060126,"(0.8149663924059627, 0.7720597327077909, 0.7167261036251668, 0.5436991909353719)"
4,0.041383664,0.082767327,"(0.7897613185968956, 0.7972535768207636, 0.7167261036251668, 0.5436991909353719)"
4,0.040384471,0.080768943,"(0.7069909090159814, 0.7972535768207636, 0.7990074090831967, 0.5436991909353719)"
4,0.016700399,0.033400798,"(0.5865683378318067, 0.7972535768207636, 0.7990074090831967, 0.6551237655508529)"
4,0.049276198,0.098552396,"(0.5284833726504832, 0.7972535768207636, 0.7990074090831967, 0.7273419970279065)"
4,0.049695212,0.099390425,"(0.5284833726504832, 0.7981772195743237, 0.7980994445559794, 0.7273419970279065)"
4,0.051272141,0.102544281,"(0.5284833726504832, 0.7981772195743237, 0.7656834463372706, 0.7660657086485234)"
4,0.051749882,0.103499764,"(0.5284833726504832, 0.7670986077175417, 0.7656834463372706, 0.7972991534552184)"
4,0.051022674,0.102045349,"(0.5284833726504832, 0.7441054034487298, 0.7857678198098694, 0.7972991534552184)"
4,0.053431507,0.106863015,"(0.5284833726504832, 0.7441054034487298, 0.7905581137931409, 0.7924541147972164)"
4,0.043540606,0.087081212,"(0.5516642831410138, 0.7277227080187434, 0.7905581137931409, 0.7924541147972164)"
4,0.034233851,0.068467702,"(0.5516642831410138, 0.7051960349935278, 0.8090504622218376, 0.7924541147972164)"
4,0.022483164,0.044966328,"(0.6702418529804748, 0.5637128493657367, 0.8090504622218376, 0.7924541147972164)"
4,0.022471574,0.044943149,"(0.6702418529804748, 0.8090685841425991, 0.5637410858836857, 0.7924541147972164)"
4,0.009581635,0.019163271,"(0.6473856075302248, 0.8090685841425991, 0.5924445966688232, 0.7924541147972164)"
4,0.01339825,0.026796501,"(0.6539575678906416, 0.8090685841425991, 0.5837500968383359, 0.7924541147972164)"
4,0.028409043,0.056818087,"(0.5570783966446881, 0.8090685841425991, 0.6873290392655627, 0.7924541147972164)"
4,0.026716666,0.053433333,"(0.5570783966446881, 0.8125306011424427, 0.6873290392655627, 0.7891466239087832)"
4,0.017153718,0.034307436,"(0.7709214224394345, 0.8125306011424427, 0.6873290392655627, 0.5771049881757686)"
4,0.026293151,0.052586303,"(0.7964145251823285, 0.8125306011424427, 0.6873290392655627, 0.5660403583015424)"
4,0.029302968,0.058605936,"(0.7942214183531863, 0.8125306011424427, 0.6873290392655627, 0.5518079849399953)"
4,0.029255493,0.058510986,"(0.7942214183531863, 0.8122899716212195, 0.6873290392655627, 0.5522385134843835)"
4,0.029295254,0.058590508,"(0.7942214183531863, 0.5518411042704208, 0.6873290392655627, 0.8125283374743829)"
4,0.010676465,0.02135293,"(0.7942214183531863, 0.5854027568856165, 0.6464155353771465, 0.8125283374743829)"
4,0.034652516,0.069305033,"(0.7942214183531863, 0.6967331746137584, 0.5398161899742889, 0.8125283374743829)"
4,0.0372933,0.0745866,"(0.5366513781231518, 0.6967331746137584, 0.8016197418286892, 0.8125283374743829)"
4,0.034312648,0.068625295,"(0.8051450486619905, 0.6967331746137584, 0.5520992956849328, 0.8125283374743829)"
4,0.020679407,0.041358813,"(0.7691912949832679, 0.6967331746137584, 0.5706785057837708, 0.8125283374743829)"
4,0.023803672,0.047607345,"(0.5650511497975077, 0.6967331746137584, 0.7760610024008948, 0.8125283374743829)"
4,0.026908213,0.053816426,"(0.5650511497975077, 0.8052165420504528, 0.7760610024008948, 0.7018395410621203)"
4,0.039390475,0.07878095,"(0.5650511497975077, 0.7299826926580434, 0.7760610024008948, 0.7834306460064376)"
4,0.037953801,0.075907602,"(0.5650511497975077, 0.7267789328320994, 0.7760610024008948, 0.7859735814670212)"
4,0.035650409,0.071300818,"(0.5650511497975077, 0.7267789328320994, 0.7906253475182563, 0.7714992008679411)"
4,0.016875441,0.033750882,"(0.6240636722094456, 0.7267789328320994, 0.7362857046047504, 0.7714992008679411)"
4,0.035618036,0.071236072,"(0.8070576855107242, 0.7267789328320994, 0.548748304449048, 0.7714992008679411)"
4,0.034866471,0.069732942,"(0.8070576855107242, 0.7267789328320994, 0.7698989553752904, 0.5501543179845643)"
4,0.021782466,0.043564932,"(0.746508733767465, 0.7267789328320994, 0.8360034840047137, 0.5501543179845643)"
4,0.039514611,0.079029222,"(0.7976754245314679, 0.7267789328320994, 0.7791092535753934, 0.5501543179845643)"
4,0.037618043,0.075236085,"(0.8018139707032665, 0.7267789328320994, 0.7756615259020001, 0.5501543179845643)"
4,0.00649569,0.012991379,"(0.8018139707032665, 0.7267789328320994, 0.7156028567623827, 0.614585060438823)"
4,0.035762924,0.071525848,"(0.8018139707032665, 0.7267789328320994, 0.7749698763382733, 0.5568831424664072)"
4,0.037838535,0.075677071,"(0.8094334317446928, 0.7267789328320994, 0.7749698763382733, 0.5409612361878993)"
4,0.025412028,0.050824056,"(0.7509952093791542, 0.7267789328320994, 0.8351647938384704, 0.5409612361878993)"
3,0.048655667,0.097311334,"(0.7509952093791542, 0.7684557515868115, 0.8351647938384704, 0.4896634984212609)"
3,0.048451054,0.096902108,"(0.7509952093791542, 0.7684557515868115, 0.8354868377408557, 0.4901599065533492)"
3,0.048783335,0.09756667,"(0.7509952093791542, 0.4884733533796753, 0.8354868377408557, 0.7680983227341761)"
3,0.058451213,0.116902426,"(0.7690000780405142, 0.4884733533796753, 0.814820196149655, 0.7680983227341761)"
4,0.04846114,0.09692228,"(0.5182135296200586, 0.7587799630485728, 0.814820196149655, 0.7680983227341761)"
4,0.053209517,0.106419035,"(0.5109389852661597, 0.7704989277358981, 0.814820196149655, 0.7680983227341761)"
4,0.007738411,0.015476823,"(0.5972252044556451, 0.6749007234292707, 0.814820196149655, 0.7680983227341761)"
4,0.006803076,0.013606152,"(0.5972252044556451, 0.6728543113976255, 0.8165151262272599, 0.7680983227341761)"
4,0.035395321,0.070790642,"(0.7381118219653975, 0.5481137349534007, 0.8165151262272599, 0.7680983227341761)"
4,-0.005863865,0.011727729,"(0.6457308334441441, 0.6207694887799929, 0.8165151262272599, 0.7680983227341761)"
4,-0.001988067,0.004349453,"(0.6457308334441441, 0.6633266169947526, 0.7936463726325448, 0.7680983227341761)"
4,0.002309268,0.004618535,"(0.6105542188328371, 0.6633266169947526, 0.8116336505158233, 0.7680983227341761)"
4,0.003050646,0.006101292,"(0.6105542188328371, 0.6649119188980908, 0.8102534386758637, 0.7680983227341761)"
4,0.000395227,0.003202048,"(0.6589607954735679, 0.6649119188980908, 0.7637281059987294, 0.7680983227341761)"
4,-0.002052792,0.004105584,"(0.663099653171251, 0.6649119188980908, 0.7580748883496353, 0.7680983227341761)"
4,-0.001357208,0.002714415,"(0.7297483167104742, 0.6649119188980908, 0.6978330946315331, 0.7680983227341761)"
4,0.000503571,0.00447735,"(0.7297483167104742, 0.6420477601427138, 0.6978330946315331, 0.7835193673676476)"
4,0.000235977,0.004494593,"(0.7297483167104742, 0.6420477601427138, 0.6972806632446306, 0.7840373121001712)"
4,-0.002266985,0.00453397,"(0.7297483167104742, 0.6899158279209634, 0.6972806632446306, 0.7461810923465294)"
4,-0.002354285,0.004708569,"(0.7297483167104742, 0.6738503736460578, 0.6972806632446306, 0.7625957445178001)"
4,0.00715251,0.01430502,"(0.7297483167104742, 0.6505536536015231, 0.7120111208946635, 0.7625957445178001)"
4,0.036049187,0.072098375,"(0.7297483167104742, 0.8084279758226617, 0.5397193354952683, 0.7625957445178001)"
4,0.043166591,0.086333182,"(0.7297483167104742, 0.8084279758226617, 0.5196055890786523, 0.7709516130219954)"
4,0.04470821,0.089416419,"(0.7297483167104742, 0.5034574257773716, 0.8184096653203553, 0.7709516130219954)"
4,0.042092364,0.084184729,"(0.7244058108050028, 0.5085783013194666, 0.8184096653203553, 0.7709516130219954)"
4,0.062321002,0.124642003,"(0.7652139193243214, 0.5085783013194666, 0.7783032242030502, 0.7709516130219954)"
4,0.056513146,0.113026292,"(0.5202826204511023, 0.753686815910639, 0.7783032242030502, 0.7709516130219954)"
4,0.062205089,0.124410177,"(0.7646050267045923, 0.5084330613277246, 0.7783032242030502, 0.7709516130219954)"
4,0.047658263,0.095316526,"(0.7646050267045923, 0.5482693430567521, 0.7783032242030502, 0.7526005919272548)"
4,0.05264786,0.10529572,"(0.7964244026686457, 0.5238879736408567, 0.7783032242030502, 0.7526005919272548)"
4,0.046951131,0.093902263,"(0.7964244026686457, 0.5322340287676558, 0.7638623651821698, 0.7526005919272548)"
4,0.049557493,0.099114987,"(0.5352897694928502, 0.7829432143610499, 0.7638623651821698, 0.7526005919272548)"
4,0.055899274,0.111798548,"(0.7982602030486218, 0.7829432143610499, 0.5136865063059076, 0.7526005919272548)"
4,0.058486173,0.116972346,"(0.7982602030486218, 0.7829432143610499, 0.7543210924895205, 0.5050594125392155)"
4,0.058655913,0.117311825,"(0.7982602030486218, 0.7757014056918999, 0.7622418607858235, 0.5050594125392155)"
4,0.051482607,0.102965213,"(0.5544563599221287, 0.7757014056918999, 0.7622418607858235, 0.7738463309215461)"
4,0.049843951,0.099687902,"(0.5544563599221287, 0.7788472585231353, 0.758833090611467, 0.7738463309215461)"
4,0.03756399,0.07512798,"(0.5544563599221287, 0.8028622721547394, 0.733728261490695, 0.7738463309215461)"
4,0.041353706,0.082707412,"(0.7647883385064753, 0.8028622721547394, 0.733728261490695, 0.5302395042549448)"
4,0.052744096,0.105488192,"(0.7647883385064753, 0.7805086350755949, 0.7569361840174255, 0.5302395042549448)"
4,0.016971632,0.033943264,"(0.7647883385064753, 0.7101471741469553, 0.7569361840174255, 0.6344084922565392)"
4,-0.013928069,0.027856139,"(0.6502930639525321, 0.8285330335071196, 0.7569361840174255, 0.6344084922565392)"
4,0.015969632,0.031939265,"(0.7113222606819266, 0.7699714226292722, 0.7569361840174255, 0.6344084922565392)"
4,0.020062964,0.040125929,"(0.7113222606819266, 0.7699714226292722, 0.6258026229078325, 0.7647036426425626)"
4,0.018736594,0.037473188,"(0.7113222606819266, 0.8251492356597312, 0.5759302912366323, 0.7647036426425626)"
4,0.0260486,0.0520972,"(0.7265122060042067, 0.8251492356597312, 0.5618722120041583, 0.7647036426425626)"
